id_venta,fecha,cliente,color,tamano_cm,cantidad_paquetes,precio_unitario_paquete
1,2026-01-09,Comercial Rosas SAC,Rojo,60,47,23
2,2026-01-06,Distribuidora Flor del Valle,Blanco,50,39,20
3,2026-01-11,Distribuidora Flor del Valle,Amarillo,60,39,23
4,2026-01-17,Mayorista Chiclayo Norte,Blanco,60,58,23
5,2026-01-18,Comercial Rosas SAC,Amarillo,50,56,20
6,2026-01-16,Distribuidora Flor del Valle,Blanco,50,26,20
7,2026-01-24,Mayorista Chiclayo Norte,Rojo,50,34,20
8,2026-01-20,Distribuidora Flor del Valle,Rosado,60,22,23
9,2026-01-19,Distribuidora Flor del Valle,Rosado,60,12,28
10,2026-01-31,Mayorista Chiclayo Norte,Blanco,60,11,23
11,2026-01-30,Comercial Rosas SAC,Amarillo,60,54,23
12,2026-01-31,Comercial Rosas SAC,Amarillo,80,56,26
13,2026-02-08,Comercial Rosas SAC,Amarillo,80,21,26
14,2026-02-05,Distribuidora Flor del Valle,Rojo,60,25,23
15,2026-02-07,Comercial Rosas SAC,Blanco,60,40,23
16,2026-02-13,Distribuidora Flor del Valle,Amarillo,80,30,26
17,2026-02-12,Distribuidora Flor del Valle,Rojo,50,26,20
18,2026-02-10,Comercial Rosas SAC,Amarillo,80,32,26
19,2026-02-20,Distribuidora Flor del Valle,Rosado,80,11,26
20,2026-02-22,Distribuidora Flor del Valle,Rosado,80,39,26
21,2026-02-21,Mayorista Chiclayo Norte,Rojo,80,49,26
22,2026-02-23,Distribuidora Flor del Valle,Rosado,50,10,25
23,2026-02-28,Comercial Rosas SAC,Blanco,50,24,20
24,2026-02-26,Comercial Rosas SAC,Rosado,60,23,23
25,2026-03-08,Mayorista Chiclayo Norte,Amarillo,60,51,23
26,2026-03-03,Mayorista Chiclayo Norte,Rosado,60,28,23
27,2026-03-07,Mayorista Chiclayo Norte,Rosado,60,60,23
28,2026-03-11,Comercial Rosas SAC,Blanco,60,53,23
29,2026-03-09,Comercial Rosas SAC,Blanco,50,51,20
30,2026-03-12,Distribuidora Flor del Valle,Rojo,80,33,26
