fecha,id_tiempo_dw,anio,mes,semana
2026-01-07,1,2026,1,2
2026-01-06,2,2026,1,2
2026-01-08,3,2026,1,2
2026-01-12,4,2026,1,3
2026-01-13,5,2026,1,3
2026-01-18,6,2026,1,3
2026-01-25,7,2026,1,4
2026-01-20,8,2026,1,4
2026-01-23,9,2026,1,4
2026-01-27,10,2026,1,5
2026-01-29,11,2026,1,5
2026-01-26,12,2026,1,5
2026-02-06,13,2026,2,6
2026-02-03,14,2026,2,6
2026-02-04,15,2026,2,6
2026-02-15,16,2026,2,7
2026-02-09,17,2026,2,7
2026-02-10,18,2026,2,7
2026-02-19,19,2026,2,8
2026-02-17,20,2026,2,8
2026-02-22,21,2026,2,8
2026-02-23,22,2026,2,9
2026-02-26,23,2026,2,9
2026-03-01,24,2026,3,9
2026-03-04,25,2026,3,10
2026-03-06,26,2026,3,10
2026-03-08,27,2026,3,10
2026-03-14,28,2026,3,11
2026-03-15,29,2026,3,11
2026-03-11,30,2026,3,11
2026-01-09,31,2026,1,2
2026-01-11,32,2026,1,2
2026-01-17,33,2026,1,3
2026-01-16,34,2026,1,3
2026-01-24,35,2026,1,4
2026-01-19,36,2026,1,4
2026-01-31,37,2026,1,5
2026-01-30,38,2026,1,5
2026-02-08,39,2026,2,6
2026-02-05,40,2026,2,6
2026-02-07,41,2026,2,6
2026-02-13,42,2026,2,7
2026-02-12,43,2026,2,7
2026-02-20,44,2026,2,8
2026-02-21,45,2026,2,8
2026-02-28,46,2026,2,9
2026-03-03,47,2026,3,10
2026-03-07,48,2026,3,10
2026-03-09,49,2026,3,11
2026-03-12,50,2026,3,11
