id_venta,id_tiempo_dw,id_cliente_dw,id_color_dw,id_tamano_dw,cantidad_paquetes,precio_unitario_paquete,ingreso_total
1,31,1,1,2,47,23.0,1081.0
2,2,2,3,1,39,20.0,780.0
3,32,2,2,2,39,23.0,897.0
4,33,3,3,2,58,23.0,1334.0
5,6,1,2,1,56,20.0,1120.0
6,34,2,3,1,26,20.0,520.0
7,35,3,1,1,34,20.0,680.0
8,8,2,4,2,22,23.0,506.0
9,36,2,4,2,12,23.0,276.0
10,37,3,3,2,11,23.0,253.0
11,38,1,2,2,54,23.0,1242.0
12,37,1,2,3,56,26.0,1456.0
13,39,1,2,3,21,26.0,546.0
14,40,2,1,2,25,23.0,575.0
15,41,1,3,2,40,23.0,920.0
16,42,2,2,3,30,26.0,780.0
17,43,2,1,1,26,20.0,520.0
18,18,1,2,3,32,26.0,832.0
19,44,2,4,3,11,26.0,286.0
20,21,2,4,3,39,26.0,1014.0
21,45,3,1,3,49,26.0,1274.0
22,22,2,4,1,10,20.0,200.0
23,46,1,3,1,24,20.0,480.0
24,23,1,4,2,23,23.0,529.0
25,27,3,2,2,51,23.0,1173.0
26,47,3,4,2,28,23.0,644.0
27,48,3,4,2,60,23.0,1380.0
28,30,1,3,2,53,23.0,1219.0
29,49,1,3,1,51,20.0,1020.0
30,50,2,1,3,33,26.0,858.0
